행 고유 번호(부여 후 변경 금지),랭크 티어 인덱스(0~19),전투 종류(Normal/DivisionFinal/GradeFinal),AIDeck.deckId 참조,card1 내부 레벨(1~4·표시 성급+1),card2 내부 레벨(1~4·표시 성급+1),card3 내부 레벨(1~4·표시 성급+1),card4 내부 레벨(1~4·표시 성급+1),card5 내부 레벨(1~4·표시 성급+1),card6 내부 레벨(1~4·표시 성급+1),card1 한계돌파(0~3·Lv4에서만),card2 한계돌파(0~3·Lv4에서만),card3 한계돌파(0~3·Lv4에서만),card4 한계돌파(0~3·Lv4에서만),card5 한계돌파(0~3·Lv4에서만),card6 한계돌파(0~3·Lv4에서만),강조 에이스 슬롯(0=없음·1~6),초기 곡선 후보·실전 밸런스 미검증
10721,7,Normal,deck_21,3,3,3,3,3,3,0,0,0,0,0,0,4,실버 후반 / 시너지와 주력 카드 성장 유지
10722,7,Normal,deck_22,4,4,3,3,3,3,0,0,0,0,0,0,2,실버 후반 / 시너지와 주력 카드 성장 유지
10819,8,Normal,deck_19,4,4,3,3,3,4,0,0,0,0,0,0,1,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
10820,8,Normal,deck_20,4,4,3,3,3,3,0,0,0,0,0,0,2,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
10821,8,Normal,deck_21,3,3,3,4,3,3,0,0,0,0,0,0,4,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
10822,8,Normal,deck_22,4,4,3,4,3,3,0,0,0,0,0,0,2,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
10901,9,Normal,deck_01,3,3,3,3,3,3,0,0,0,0,0,0,3,낙인 3장 우선·포식자 2장 후속 / 처형 얼음꼬미 에이스
10902,9,Normal,deck_02,3,3,3,3,3,3,0,0,0,0,0,0,3,낙인 3장 우선·비늘 2장 후속 / 처형 얼음꼬미 에이스
10903,9,Normal,deck_03,3,3,3,3,3,3,0,0,0,0,0,0,6,돌보미 3장 우선·유산 2장 후속 / 무쌍 대장부리 에이스
10904,9,Normal,deck_04,3,3,3,3,3,3,0,0,0,0,0,0,6,돌보미 3장 우선·덩치 2장 후속 / 고체력 도발 화르룩스 에이스
10905,9,Normal,deck_05,3,3,3,3,3,3,0,0,0,0,0,0,3,흐름 3장 우선·비늘 2장 후속 / 처형 찌릿핀 에이스
10906,9,Normal,deck_06,3,3,3,3,3,3,0,0,0,0,0,0,3,흐름 3장 우선·덩치 2장 후속 / 처형 찌릿핀 에이스
10907,9,Normal,deck_07,3,3,3,3,3,3,0,0,0,0,0,0,3,추적 2장 우선·추적 3번째와 도발 보완 / 처형 꿈먹이 에이스
10908,9,Normal,deck_08,3,3,3,3,3,3,0,0,0,0,0,0,5,유산 2장 우선·처형과 도발 보완 / 무쌍 대장부리 에이스
10919,9,Normal,deck_19,4,4,3,3,3,4,0,0,0,0,0,0,1,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
10920,9,Normal,deck_20,4,4,3,3,3,3,0,0,0,0,0,0,2,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
10921,9,Normal,deck_21,3,3,3,4,3,3,0,0,0,0,0,0,4,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
10922,9,Normal,deck_22,4,4,3,4,3,3,0,0,0,0,0,0,2,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
11001,10,Normal,deck_01,3,3,3,3,3,3,0,0,0,0,0,0,3,낙인 3장 우선·포식자 2장 후속 / 처형 얼음꼬미 에이스
11002,10,Normal,deck_02,3,3,3,3,3,3,0,0,0,0,0,0,3,낙인 3장 우선·비늘 2장 후속 / 처형 얼음꼬미 에이스
11003,10,Normal,deck_03,3,3,3,3,3,3,0,0,0,0,0,0,6,돌보미 3장 우선·유산 2장 후속 / 무쌍 대장부리 에이스
11004,10,Normal,deck_04,3,3,3,3,3,3,0,0,0,0,0,0,6,돌보미 3장 우선·덩치 2장 후속 / 고체력 도발 화르룩스 에이스
11005,10,Normal,deck_05,3,3,3,3,3,3,0,0,0,0,0,0,3,흐름 3장 우선·비늘 2장 후속 / 처형 찌릿핀 에이스
11006,10,Normal,deck_06,3,3,3,3,3,3,0,0,0,0,0,0,3,흐름 3장 우선·덩치 2장 후속 / 처형 찌릿핀 에이스
11007,10,Normal,deck_07,3,3,3,3,3,3,0,0,0,0,0,0,3,추적 2장 우선·추적 3번째와 도발 보완 / 처형 꿈먹이 에이스
11008,10,Normal,deck_08,3,3,3,3,3,3,0,0,0,0,0,0,5,유산 2장 우선·처형과 도발 보완 / 무쌍 대장부리 에이스
11019,10,Normal,deck_19,4,4,3,3,3,4,0,0,0,0,0,0,1,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
11020,10,Normal,deck_20,4,4,3,3,3,3,0,0,0,0,0,0,2,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
11021,10,Normal,deck_21,3,3,3,4,3,3,0,0,0,0,0,0,4,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
11022,10,Normal,deck_22,4,4,3,4,3,3,0,0,0,0,0,0,2,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
11101,11,Normal,deck_01,3,3,4,3,3,3,0,0,0,0,0,0,3,낙인 3장 우선·포식자 2장 후속 / 처형 얼음꼬미 에이스
11102,11,Normal,deck_02,3,3,4,3,3,3,0,0,0,0,0,0,3,낙인 3장 우선·비늘 2장 후속 / 처형 얼음꼬미 에이스
11103,11,Normal,deck_03,3,3,3,3,3,4,0,0,0,0,0,0,6,돌보미 3장 우선·유산 2장 후속 / 무쌍 대장부리 에이스
11104,11,Normal,deck_04,3,3,3,3,3,4,0,0,0,0,0,0,6,돌보미 3장 우선·덩치 2장 후속 / 고체력 도발 화르룩스 에이스
11105,11,Normal,deck_05,3,3,4,3,3,3,0,0,0,0,0,0,3,흐름 3장 우선·비늘 2장 후속 / 처형 찌릿핀 에이스
11106,11,Normal,deck_06,3,3,4,3,3,3,0,0,0,0,0,0,3,흐름 3장 우선·덩치 2장 후속 / 처형 찌릿핀 에이스
11107,11,Normal,deck_07,3,3,4,3,3,3,0,0,0,0,0,0,3,추적 2장 우선·추적 3번째와 도발 보완 / 처형 꿈먹이 에이스
11108,11,Normal,deck_08,3,3,3,3,4,3,0,0,0,0,0,0,5,유산 2장 우선·처형과 도발 보완 / 무쌍 대장부리 에이스
11201,12,Normal,deck_01,3,3,4,3,3,3,0,0,0,0,0,0,3,낙인 3장 우선·포식자 2장 후속 / 처형 얼음꼬미 에이스
11202,12,Normal,deck_02,3,3,4,3,3,3,0,0,0,0,0,0,3,낙인 3장 우선·비늘 2장 후속 / 처형 얼음꼬미 에이스
11203,12,Normal,deck_03,3,3,3,3,3,4,0,0,0,0,0,0,6,돌보미 3장 우선·유산 2장 후속 / 무쌍 대장부리 에이스
11204,12,Normal,deck_04,3,3,3,3,3,4,0,0,0,0,0,0,6,돌보미 3장 우선·덩치 2장 후속 / 고체력 도발 화르룩스 에이스
11205,12,Normal,deck_05,3,3,4,3,3,3,0,0,0,0,0,0,3,흐름 3장 우선·비늘 2장 후속 / 처형 찌릿핀 에이스
11206,12,Normal,deck_06,3,3,4,3,3,3,0,0,0,0,0,0,3,흐름 3장 우선·덩치 2장 후속 / 처형 찌릿핀 에이스
11207,12,Normal,deck_07,3,3,4,3,3,3,0,0,0,0,0,0,3,추적 2장 우선·추적 3번째와 도발 보완 / 처형 꿈먹이 에이스
11208,12,Normal,deck_08,3,3,3,3,4,3,0,0,0,0,0,0,5,유산 2장 우선·처형과 도발 보완 / 무쌍 대장부리 에이스
11301,13,Normal,deck_01,3,3,4,3,3,4,0,0,0,0,0,0,3,낙인 3장 우선·포식자 2장 후속 / 처형 얼음꼬미 에이스
11302,13,Normal,deck_02,3,3,4,3,4,3,0,0,0,0,0,0,3,낙인 3장 우선·비늘 2장 후속 / 처형 얼음꼬미 에이스
11303,13,Normal,deck_03,3,4,3,3,3,4,0,0,0,0,0,0,6,돌보미 3장 우선·유산 2장 후속 / 무쌍 대장부리 에이스
11304,13,Normal,deck_04,3,4,3,3,3,4,0,0,0,0,0,0,6,돌보미 3장 우선·덩치 2장 후속 / 고체력 도발 화르룩스 에이스
11305,13,Normal,deck_05,3,3,4,3,4,3,0,0,0,0,0,0,3,흐름 3장 우선·비늘 2장 후속 / 처형 찌릿핀 에이스
11306,13,Normal,deck_06,3,3,4,3,3,4,0,0,0,0,0,0,3,흐름 3장 우선·덩치 2장 후속 / 처형 찌릿핀 에이스
11307,13,Normal,deck_07,3,4,4,3,3,3,0,0,0,0,0,0,3,추적 2장 우선·추적 3번째와 도발 보완 / 처형 꿈먹이 에이스
11308,13,Normal,deck_08,3,3,3,3,4,4,0,0,0,0,0,0,5,유산 2장 우선·처형과 도발 보완 / 무쌍 대장부리 에이스
11401,14,Normal,deck_01,3,3,4,3,3,4,0,0,0,0,0,0,3,낙인 3장 우선·포식자 2장 후속 / 처형 얼음꼬미 에이스
11402,14,Normal,deck_02,3,3,4,3,4,3,0,0,0,0,0,0,3,낙인 3장 우선·비늘 2장 후속 / 처형 얼음꼬미 에이스
11403,14,Normal,deck_03,3,4,3,3,3,4,0,0,0,0,0,0,6,돌보미 3장 우선·유산 2장 후속 / 무쌍 대장부리 에이스
11404,14,Normal,deck_04,3,4,3,3,3,4,0,0,0,0,0,0,6,돌보미 3장 우선·덩치 2장 후속 / 고체력 도발 화르룩스 에이스
11405,14,Normal,deck_05,3,3,4,3,4,3,0,0,0,0,0,0,3,흐름 3장 우선·비늘 2장 후속 / 처형 찌릿핀 에이스
11406,14,Normal,deck_06,3,3,4,3,3,4,0,0,0,0,0,0,3,흐름 3장 우선·덩치 2장 후속 / 처형 찌릿핀 에이스
11407,14,Normal,deck_07,3,4,4,3,3,3,0,0,0,0,0,0,3,추적 2장 우선·추적 3번째와 도발 보완 / 처형 꿈먹이 에이스
11408,14,Normal,deck_08,3,3,3,3,4,4,0,0,0,0,0,0,5,유산 2장 우선·처형과 도발 보완 / 무쌍 대장부리 에이스
11501,15,Normal,deck_01,4,3,4,3,3,4,0,0,0,0,0,0,3,낙인 3장 우선·포식자 2장 후속 / 처형 얼음꼬미 에이스
11502,15,Normal,deck_02,4,3,4,3,4,3,0,0,0,0,0,0,3,낙인 3장 우선·비늘 2장 후속 / 처형 얼음꼬미 에이스
11503,15,Normal,deck_03,4,4,3,3,3,4,0,0,0,0,0,0,6,돌보미 3장 우선·유산 2장 후속 / 무쌍 대장부리 에이스
11504,15,Normal,deck_04,4,4,3,3,3,4,0,0,0,0,0,0,6,돌보미 3장 우선·덩치 2장 후속 / 고체력 도발 화르룩스 에이스
11505,15,Normal,deck_05,4,3,4,3,4,3,0,0,0,0,0,0,3,흐름 3장 우선·비늘 2장 후속 / 처형 찌릿핀 에이스
11506,15,Normal,deck_06,4,3,4,3,3,4,0,0,0,0,0,0,3,흐름 3장 우선·덩치 2장 후속 / 처형 찌릿핀 에이스
11507,15,Normal,deck_07,3,4,4,4,3,3,0,0,0,0,0,0,3,추적 2장 우선·추적 3번째와 도발 보완 / 처형 꿈먹이 에이스
11508,15,Normal,deck_08,4,3,3,3,4,4,0,0,0,0,0,0,5,유산 2장 우선·처형과 도발 보완 / 무쌍 대장부리 에이스
11601,16,Normal,deck_01,4,4,4,3,3,4,0,0,0,0,0,0,3,낙인 3장 우선·포식자 2장 후속 / 처형 얼음꼬미 에이스
11602,16,Normal,deck_02,4,4,4,3,4,3,0,0,0,0,0,0,3,낙인 3장 우선·비늘 2장 후속 / 처형 얼음꼬미 에이스
11603,16,Normal,deck_03,4,4,4,3,3,4,0,0,0,0,0,0,6,돌보미 3장 우선·유산 2장 후속 / 무쌍 대장부리 에이스
11604,16,Normal,deck_04,4,4,4,3,3,4,0,0,0,0,0,0,6,돌보미 3장 우선·덩치 2장 후속 / 고체력 도발 화르룩스 에이스
11605,16,Normal,deck_05,4,4,4,3,4,3,0,0,0,0,0,0,3,흐름 3장 우선·비늘 2장 후속 / 처형 찌릿핀 에이스
11606,16,Normal,deck_06,4,4,4,3,3,4,0,0,0,0,0,0,3,흐름 3장 우선·덩치 2장 후속 / 처형 찌릿핀 에이스
11607,16,Normal,deck_07,4,4,4,4,3,3,0,0,0,0,0,0,3,추적 2장 우선·추적 3번째와 도발 보완 / 처형 꿈먹이 에이스
11608,16,Normal,deck_08,4,3,3,4,4,4,0,0,0,0,0,0,5,유산 2장 우선·처형과 도발 보완 / 무쌍 대장부리 에이스
11609,16,Normal,deck_09,3,3,4,4,4,4,0,0,0,0,0,0,6,포식자 2장·덩치 2장·비늘 2장 순 / 무쌍 해롱문어 에이스
11701,17,Normal,deck_01,4,4,4,3,4,4,0,0,1,0,0,1,3,낙인 3장 우선·포식자 2장 후속 / 처형 얼음꼬미 에이스
11702,17,Normal,deck_02,4,4,4,3,4,4,0,0,1,0,1,0,3,낙인 3장 우선·비늘 2장 후속 / 처형 얼음꼬미 에이스
11703,17,Normal,deck_03,4,4,4,3,4,4,0,1,0,0,0,1,6,돌보미 3장 우선·유산 2장 후속 / 무쌍 대장부리 에이스
11704,17,Normal,deck_04,4,4,4,3,4,4,0,1,0,0,0,1,6,돌보미 3장 우선·덩치 2장 후속 / 고체력 도발 화르룩스 에이스
11705,17,Normal,deck_05,4,4,4,3,4,4,0,0,1,0,1,0,3,흐름 3장 우선·비늘 2장 후속 / 처형 찌릿핀 에이스
11706,17,Normal,deck_06,4,4,4,3,4,4,0,0,1,0,0,1,3,흐름 3장 우선·덩치 2장 후속 / 처형 찌릿핀 에이스
11707,17,Normal,deck_07,4,4,4,4,3,4,0,1,1,0,0,0,3,추적 2장 우선·추적 3번째와 도발 보완 / 처형 꿈먹이 에이스
11708,17,Normal,deck_08,4,3,4,4,4,4,0,0,0,0,1,1,5,유산 2장 우선·처형과 도발 보완 / 무쌍 대장부리 에이스
11709,17,Normal,deck_09,4,3,4,4,4,4,0,0,0,1,0,1,6,포식자 2장·덩치 2장·비늘 2장 순 / 무쌍 해롱문어 에이스
11801,18,Normal,deck_01,4,4,4,4,4,4,0,0,2,0,0,2,3,낙인 3장 우선·포식자 2장 후속 / 처형 얼음꼬미 에이스
11802,18,Normal,deck_02,4,4,4,4,4,4,0,0,2,0,2,0,3,낙인 3장 우선·비늘 2장 후속 / 처형 얼음꼬미 에이스
11803,18,Normal,deck_03,4,4,4,4,4,4,0,2,0,0,0,2,6,돌보미 3장 우선·유산 2장 후속 / 무쌍 대장부리 에이스
11804,18,Normal,deck_04,4,4,4,4,4,4,0,2,0,0,0,2,6,돌보미 3장 우선·덩치 2장 후속 / 고체력 도발 화르룩스 에이스
11805,18,Normal,deck_05,4,4,4,4,4,4,0,0,2,0,2,0,3,흐름 3장 우선·비늘 2장 후속 / 처형 찌릿핀 에이스
11806,18,Normal,deck_06,4,4,4,4,4,4,0,0,2,0,0,2,3,흐름 3장 우선·덩치 2장 후속 / 처형 찌릿핀 에이스
11807,18,Normal,deck_07,4,4,4,4,4,4,0,2,2,0,0,0,3,추적 2장 우선·추적 3번째와 도발 보완 / 처형 꿈먹이 에이스
11808,18,Normal,deck_08,4,4,4,4,4,4,0,0,0,0,2,2,5,유산 2장 우선·처형과 도발 보완 / 무쌍 대장부리 에이스
11809,18,Normal,deck_09,4,4,4,4,4,4,0,0,0,2,0,2,6,포식자 2장·덩치 2장·비늘 2장 순 / 무쌍 해롱문어 에이스
11901,19,Normal,deck_01,4,4,4,4,4,4,0,0,3,0,0,3,3,낙인 3장 우선·포식자 2장 후속 / 처형 얼음꼬미 에이스
11902,19,Normal,deck_02,4,4,4,4,4,4,0,0,3,0,3,0,3,낙인 3장 우선·비늘 2장 후속 / 처형 얼음꼬미 에이스
11903,19,Normal,deck_03,4,4,4,4,4,4,0,3,0,0,0,3,6,돌보미 3장 우선·유산 2장 후속 / 무쌍 대장부리 에이스
11904,19,Normal,deck_04,4,4,4,4,4,4,0,3,0,0,0,3,6,돌보미 3장 우선·덩치 2장 후속 / 고체력 도발 화르룩스 에이스
11905,19,Normal,deck_05,4,4,4,4,4,4,0,0,3,0,3,0,3,흐름 3장 우선·비늘 2장 후속 / 처형 찌릿핀 에이스
11906,19,Normal,deck_06,4,4,4,4,4,4,0,0,3,0,0,3,3,흐름 3장 우선·덩치 2장 후속 / 처형 찌릿핀 에이스
11907,19,Normal,deck_07,4,4,4,4,4,4,0,3,3,0,0,0,3,추적 2장 우선·추적 3번째와 도발 보완 / 처형 꿈먹이 에이스
11908,19,Normal,deck_08,4,4,4,4,4,4,0,0,0,0,3,3,5,유산 2장 우선·처형과 도발 보완 / 무쌍 대장부리 에이스
11909,19,Normal,deck_09,4,4,4,4,4,4,0,0,0,3,0,3,6,포식자 2장·덩치 2장·비늘 2장 순 / 무쌍 해롱문어 에이스
30312,3,GradeFinal,deck_12,4,3,3,3,3,3,0,0,0,0,0,0,1,모험 4번 기준 / 2성 시너지 덱과 3성 주력 카드로 극복
30313,3,GradeFinal,deck_13,3,3,4,4,3,4,0,0,0,0,0,0,4,모험 4번 기준 / 2성 시너지 덱과 3성 주력 카드로 극복
30314,3,GradeFinal,deck_14,3,3,4,3,3,3,0,0,0,0,0,0,3,모험 4번 기준 / 2성 시너지 덱과 3성 주력 카드로 극복
30315,3,GradeFinal,deck_15,3,3,3,4,3,3,0,0,0,0,0,0,4,모험 4번 기준 / 2성 시너지 덱과 3성 주력 카드로 극복
30316,3,GradeFinal,deck_16,3,3,3,4,3,3,0,0,0,0,0,0,4,모험 4번 기준 / 2성 시너지 덱과 3성 주력 카드로 극복
30719,7,GradeFinal,deck_19,4,4,3,3,3,4,0,0,0,0,0,0,1,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
30720,7,GradeFinal,deck_20,4,4,3,3,3,3,0,0,0,0,0,0,2,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
30721,7,GradeFinal,deck_21,3,3,3,4,3,3,0,0,0,0,0,0,4,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
30722,7,GradeFinal,deck_22,4,4,3,4,3,3,0,0,0,0,0,0,2,실버 승급 고비 / 골드에서도 같은 덱의 성장 유지
31101,11,GradeFinal,deck_01,3,3,4,3,3,4,0,0,1,0,0,0,3,낙인 3장 우선·포식자 2장 후속 / 처형 얼음꼬미 에이스
31102,11,GradeFinal,deck_02,3,3,4,3,4,3,0,0,1,0,0,0,3,낙인 3장 우선·비늘 2장 후속 / 처형 얼음꼬미 에이스
31103,11,GradeFinal,deck_03,3,4,3,3,3,4,0,0,0,0,0,1,6,돌보미 3장 우선·유산 2장 후속 / 무쌍 대장부리 에이스
31104,11,GradeFinal,deck_04,3,4,3,3,3,4,0,0,0,0,0,1,6,돌보미 3장 우선·덩치 2장 후속 / 고체력 도발 화르룩스 에이스
31105,11,GradeFinal,deck_05,3,3,4,3,4,3,0,0,1,0,0,0,3,흐름 3장 우선·비늘 2장 후속 / 처형 찌릿핀 에이스
31106,11,GradeFinal,deck_06,3,3,4,3,3,4,0,0,1,0,0,0,3,흐름 3장 우선·덩치 2장 후속 / 처형 찌릿핀 에이스
31107,11,GradeFinal,deck_07,3,4,4,3,3,3,0,0,1,0,0,0,3,추적 2장 우선·추적 3번째와 도발 보완 / 처형 꿈먹이 에이스
31108,11,GradeFinal,deck_08,3,3,3,3,4,4,0,0,0,0,1,0,5,유산 2장 우선·처형과 도발 보완 / 무쌍 대장부리 에이스
31501,15,GradeFinal,deck_01,4,4,4,3,3,4,0,0,1,0,0,0,3,낙인 3장 우선·포식자 2장 후속 / 처형 얼음꼬미 에이스
31502,15,GradeFinal,deck_02,4,4,4,3,4,3,0,0,1,0,0,0,3,낙인 3장 우선·비늘 2장 후속 / 처형 얼음꼬미 에이스
31503,15,GradeFinal,deck_03,4,4,4,3,3,4,0,0,0,0,0,1,6,돌보미 3장 우선·유산 2장 후속 / 무쌍 대장부리 에이스
31504,15,GradeFinal,deck_04,4,4,4,3,3,4,0,0,0,0,0,1,6,돌보미 3장 우선·덩치 2장 후속 / 고체력 도발 화르룩스 에이스
31505,15,GradeFinal,deck_05,4,4,4,3,4,3,0,0,1,0,0,0,3,흐름 3장 우선·비늘 2장 후속 / 처형 찌릿핀 에이스
31506,15,GradeFinal,deck_06,4,4,4,3,3,4,0,0,1,0,0,0,3,흐름 3장 우선·덩치 2장 후속 / 처형 찌릿핀 에이스
31507,15,GradeFinal,deck_07,4,4,4,4,3,3,0,0,1,0,0,0,3,추적 2장 우선·추적 3번째와 도발 보완 / 처형 꿈먹이 에이스
31508,15,GradeFinal,deck_08,4,3,3,4,4,4,0,0,0,0,1,0,5,유산 2장 우선·처형과 도발 보완 / 무쌍 대장부리 에이스
